,pro,con
412,the people benefits,the downside
413,health,the type
414,401k,work
415,stock options,the benefit
416,etc,flexible hours
417,still,the lack
418,great gadgets,stable schedule
419,lively culture,it
420,empowering,stable family life
421,great benefits,management
422,purposeful,diversity
423,great benefits,inclusion
424,great company,the workplace
425,culture,work
426,good hours,home
427,benefits,short breaks
428,401k,none
429,stocks,
430,discounts,it
431,epp,some
432,great benefits,the metrics
433,stock options,remote position
434,,little
435,most,coworkers
436,it,management
437,one giant family,the best
438,the pay,customers
439,competitive,few opportunities
440,there,upward movement
441,great flexibility,insane amount
442,amazing benefits,work
443,chill,lot
444,work environment,work
445,benefits,competitive environment
446,vacation,hard upward mobility
447,pay,low salary
448,lot,high medium cons
449,culture,operations
450,great benefits,every area
451,work environment,the store
452,worldwide,holiday
453,it,there
454,you,much room
455,happiness here,the short term
456,perks,you
457,great work environment,years
458,pro employee,you
459,avid concentration,full time role
460,consumer,kinda
461,education reimbursement stock benefits,bad performance
462,lots,low efficiency
463,support,it
464,colleagues,yourself
465,excellent training,this
466,priceless interpersonal skills,tech job
467,great discounts,part time employee
468,great development,some reason
469,great,it
470,great people,you
471,company,there
472,local communities,all day
473,volunteer work,every day
474,stores,hours
475,flexible schedules,flexibility
476,great pay,retail managers
477,awesome benefits,the company
478,the biggest pro,you
479,apple,some bureaucracy
480,the benefits,the mangers
481,health insurance,favoritisms
482,top tier,micromanage
483,nominal premiums,political
484,rsus,emotion
485,espp,
486,epp,the job
487,discounts,
488,cell services,high stress environment
489,retailers,there
490,other perks,decent competition
491,gym reimbursement,the stores
492,you,opportunities
493,any,growth
494,the campuses,you
495,bike reimbursement,particular political motivations
496,commuter services,hours
497,the company,it
498,there,holiday season
499,natural disasters,full time
500,etc,almost everybody
501,free legal advice,it
502,you,customers
503,matters,headache
504,work,hours
505,free therapy sessions,student
506,the year,the job
507,products,training
508,us,lot
509,addition,important information
510,the amount,the job
511,opportunity,hours
512,growth,student
513,corporate,the job
514,you,training
515,leverage,lot
516,career experience,important information
517,there,the job
518,no way,pay
519,you,position
520,doors,starting wages
521,retail level,other entry level positions
522,benefits,apple
523,package,tenured employees
524,401k,apple
525,stocks,they
526,medical insurance,new ideas
527,amazing,retail management
528,every place,creeps
529,you,charge
530,sea,culture
531,brilliance,higher management abuses
532,the magic,hours
533,everyone,all
534,great work,the weekends
535,we,angry customers
536,we,long days
537,the campus,feet
538,we,big teams
539,shuttles,management
540,us,political relationships
541,one building,talent
542,another,it
543,us,promotions
544,commute times,some people
545,few local gyms,little
546,membership,there
547,we,some subtle politics
548,few medical centers,almost every work environment
549,apple employees,that
550,there,the only other con
551,an optometry,you
552,dentist,certain customers
553,apple,type personalities
554,the benefits,lot
555,them,lot
556,the employees,goals
557,care,we
558,the rsus,it
559,refreshers,work hours
560,numerous companies,not much positive reinforcement
561,the valley,intense work environment
562,big difference,good overall
563,great team,no particular cons
564,benefits,pay
565,highest,
566,employer,it
567,hardware,the culture
568,smart,teams
569,quality,some teams
570,all around,employees
571,you,others
572,deeper,work life balance
573,,growth
574,apple,larger environments
575,you,you
576,demand,management
577,service,there
578,coworkers,issues
579,it,growth
580,culture,retail
581,apple,corporate
582,times,hours
583,it,it
584,you,retail management
585,you,retail
586,work ethic,requirements
587,rigor,job
588,pace,the retail level
589,plenty,it
590,challenges,
591,personal growth,market team leaders
592,tons,clothing
593,transferable people skills,all
594,the people,lower leadership
595,you,it
596,apple,positive intent
597,no other environment,employees
598,it,apple retail
599,people,part timers
600,wages,the corporate level
601,any experience,it
602,pretty great benefits,scramble
603,package,positions
604,awesome health,we
605,insurance,top tier talent
606,apple retail,friends
607,you,friends
608,the ability,the sake
609,many different jobs,friendship
610,you,they
611,you,pay
612,job,other companies
613,any county,they
614,retail location,management positions
615,great,there
616,you,some
617,apple retail,people
618,great starter job,
619,fine tune certain competencies,that
620,easy work environment,management
621,large support system,long time
622,discounts,they
623,flexibility,retail hours
624,schedule,work ilife balance
625,opportunity,it
626,lot,not enough vacation time
627,tech,times
628,coworkers,any other retail
629,opportunities,the
630,promotions,work load
631,the things,it
632,,work
633,apple,you
634,the people,life
635,,work
636,,the work week
637,nearly everyone,some hardware groups
638,,you
639,colleague,every night
640,person,not huge amount
641,the job,upward mobility
642,it,the retail environment
643,edge technonolgy,cons
644,flat management hierarchy,you
645,benefits,you
646,you,great experience
647,part time employees,you
648,the apple store,positive attitude
649,the pay,the time
650,it,so team members
651,retail store work environment,the max
652,amazing workplace environment,the time
653,work life balance,the store
654,flexible hours,
655,discounts,within
656,you,many managers
657,fun work environment,other retail companies
658,hourly rate great management,there
659,those,team members
660,me,safe spaces
661,coworkers,you
662,super,the company
663,encouraging environment,diverse opinion
664,flexible hours,yourself
665,perks,retail work environment
666,place,the public
667,amazing compensation,large capacity
668,great benefits,intense feeling
669,flexible hours,child
670,great team,no relocation packages
671,friendly,retail employees
672,colleagues,high level
673,environment,internal politics
674,good health benefits,
675,nice products,account
676,good work environment,the specific duties
677,great pay,each
678,stick incentive,no
679,great people,benefits
680,great benefits,free lunches
681,flexible schedule,no annual bonus
682,good pay,retail employees
683,low stress,
684,awesome people,salary
685,rate,lack
686,great benefits,incentives
687,good pay,high level
688,work,performance
689,home,constant need
690,pay,the
691,relationships,specific roles
692,the benefits,retail
693,the people,other industries
694,love,loss
695,there,culture
696,you,the years
697,lot,the company
698,they,the leaders
699,things ability,you
700,home,growth
701,amazing job,you
702,great coworkers,number
703,amazing,person
704,it,it
705,company,customers
706,tons,company
707,benefits,the spotlight
708,employees,good starting pay
709,the best part,retail
710,this company,compensation
711,the people,the amount
712,you,money
713,every day,
714,the worst part,apple
715,customers,it
716,you,
717,good thing,times
718,all the employees,weekends
719,you,launches
720,company,the holiday season
721,opportunities,you
722,growth,you
723,great,apple
724,it,everyone
725,fun,an opinion
726,job,apple
727,the people,they
728,managers,fight
729,personal growth,hours
730,there,limited locations
731,none,management
732,cons,the most part
733,more,an effective system
734,,place
735,pay,the apple retail environment
736,pto,it
737,no weekends,employees
738,great work place,the ground level
739,great company,long periods
740,benefits,time
741,training,you
742,others,the good side
743,solutions,leadership
744,great benefits,people
745,managers,compelling example
746,that,people
747,great technology,solid popularity contest
748,great rapport,extroverts
749,coworkers,quirky people
750,management team,weekends
751,robust benefits package,no commission
752,full medical,store sales
753,vision insurance,seasonal
754,diverse workplace,they
755,authentic,the very end
756,home,us
757,decent pay,we
758,great culture,the group
759,they,work hours
760,pay,holidays
761,benefits,not much room
762,life,advancement
763,work,any cons
764,balance,
765,amazing,you
766,lot,holiday scheduling
767,great managers,people
768,reasonable salary,little room
769,great benefits,advancement
770,modern worksites,this
771,to,no advancement
772,great positive place,other careers
773,it,schedule conflicts
774,everyone,poor accountability
775,great team environment,upper management
776,lot,lot
777,individual personal development opportunities,ambiguity
778,some,lots
779,the college role,metrics
780,tuition reimbursement,lack
781,me,learning
782,one semester,work
783,matching 401k,the dark
784,time,horrible work culture
785,discounts,language barrier
786,friends,foreign customers
787,family,time
788,yourself,opportunities
789,the apple store,advancement
790,good benefits,work
791,great culture,none existant
792,management,the needs
793,help great perks,the business
794,you,any kind
795,people,change
796,the top,lots
797,good pay,red tape movement
798,work,the company
799,life balance,very strict procedures
800,benefits,scheduling
801,lot,angry customers
802,people,they
803,latest apple products,it
804,good life balance,there
805,,no downsides lol yay
806,work,everything
807,home,you
808,great ceo,all seconds
809,direction,job
810,amazing place,little boring
811,things,retail hours
812,attention,you
813,detail,the pay
814,great perks,it
815,healthcare,hours
816,free beer bashes,it
817,etc,retail job
818,top class gym facility,this job
819,pennies,you
820,the dollar,school
821,great,much room
822,vibes,customers
823,great people,pay rate
824,amazing pay great benefits,products
825,family,schedules
826,coworkers,lack
827,the time,updated information
828,reasonable pay,customers
829,that level,technical support
830,work,surveys
831,benefits,you
832,pay,the customer
833,tuition reimbursement,the right information
834,flexible hours,it
835,all online,they
836,the culture,apple
837,place,the customer service representative
838,fun,they
839,you,the wrong rep
840,many perspectives,it
841,customer interaction,trainers
842,you,you
843,any career,the correct information
844,good benefits,you
845,facilities,calls
846,some good people,you
847,everyone,yourself
848,internal processes,customers
849,fun,things
850,lots,they
851,benefits,emails
852,part time workers,checking calendars
853,401k,devices
854,insurance,calendars
855,etc,past dates
856,consistent hours,support
857,time,vintage devices
858,awesome,third party
859,people,cellular service
860,benefits,cost
861,great work,devices
862,life balance,later model
863,great benefits,the tech support line
864,opportunities,sales
865,great staff,customer
866,great pay,everyone
867,benefits,they
868,great benefits,works
869,competitive pay,apple
870,diverse organization,they
871,good pay,we
872,lot,we
873,hours,them
874,nice environment,no matter
875,staff,pc
876,dynamic environment,they
877,good support,customers
878,corporate,they
879,best hours,passcode
880,any retail job,itunes
881,discounts,they
882,apple products,they
883,access,those things
884,great companies,another apple product
885,success,customers
886,amazing benefits,it
887,great pay sense,service appointment
888,community lots,customers
889,support everyone,us
890,apple,we
891,jobs room,it
892,growth,privacy issue
893,great company,tools
894,part,we
895,family management,work
896,you benefits,they
897,part time employees,us
898,the company,the customer
899,good benefits,they
900,you,it
901,most coworkers,we
902,good pay,them
903,good benefits,it
904,great pay,they
905,benefits,customers
906,benefits,resources
907,discounts,much
908,life balance,rude tier
909,all,advisers
910,the team,senior advisers
911,manager,the call
912,,it
913,flexibility,that
914,the job,you
915,mentality,the wrong information
916,great compensation,upset customers
917,you,no long breaks
918,all,long work hours
919,the team,nothing much
920,manager,no cons
921,,no company
922,flexibility,there
923,the job,challenges
924,mentality,the tech industry
925,great compensation,you
926,you,difference
927,amazing benefits,customer
928,great coworkers,fraud
929,management,no repercussions
930,amazing company,customers
931,benefits,unpredictable scheduling
932,amazing pay,quite bit
933,beer bash,retail hours
934,all,
935,supportive work environment,pm
936,you,employees
937,relationships,
938,new customers,10 pm
939,lots,the company
940,good work,it
941,fun,individual manager styles
942,company,be
943,good pay,sometimes things
944,great product,sometime
945,apple,location
946,great benefits,location
947,wage,san francisco
948,coworkers,palo
949,place,fear
950,retail,employee lawsuits
951,fun work,too many
952,incredible team,decisions
953,good benefits,managers
954,great managers,inability
955,great befits,employees
956,good work environment,short term
957,,
958,this job,permanent position
959,it,it
960,me,role
961,lot,multiple times
962,good stock options,the pay
963,decent discount,it
964,job stability,culturally
965,health benefits,they
966,amazing,work culture
967,great,other retail companies
968,part time season workers,
969,lots,day
970,classic apple,people
971,good,some customers
972,company mission,the advisor
973,you,
974,anyone,some negative things
975,the floor,some
976,help,the managers
977,an,other coworkers
978,that,another con
979,,they
980,attitude,any
981,the majority,the public holidays except
982,little attitude,new years
983,new people,the 4th
984,some,july
985,you,thanksgiving
986,friends,yes
987,people team,christmas
988,things,first
989,fun,you
990,hr decent rate,
991,retail,huge machine
992,seasonal work opportunities,the bureaucracy
993,general attitude,be
994,workers,engineered
995,amazing benefits,finger
996,great people,politics
997,very nice work,apple care
998,environment,every
999,every store,big deal
1000,very dynamic job,you
1001,every day,the competitiveness
1002,lots,the bay area
1003,different customers,you
1004,problems,lot room
1005,obstacles,growth
1006,etc,terrible management
1007,the job,there
1008,amazing benefits,you
1009,place,it
1010,great energy,it
1011,great products,store
1012,limits,store
1013,customer service industry,luck
1014,great training,paced environment
1015,amazing company,lot
1016,brand value,customer
1017,others,times
1018,it,customers
1019,,rude
1020,it,thick skin
1021,the best retail job,much downside
1022,you,
1023,amazing people,the moment
1024,great health benefits,no
1025,great values,the year
1026,great place,everything
1027,person,college student
1028,decent pay,extra hours
1029,excellent,common school breaks
1030,amazing company,time
1031,yourself,common school breaks
1032,great,christmas
1033,extremely good benefits,managment
1034,healthcare,no work life balance
1035,pto,you
1036,discounts,yourself
1037,expectations,duties
1038,flexible work schedule,
1039,work,people
1040,home,no security
1041,,discounts
1042,some,the schedule
1043,the most dynamic people,super
1044,all,no
1045,life,permanent
1046,apple,seasonal position
1047,company benefits,malls
1048,they,it
1049,care,business rep
1050,you,phone conversations
1051,great,zero wfh ability
1052,people,overall job satisfaction
1053,benefits,the company dgaf
1054,the people,retail b2b teams
1055,you,no resources
1056,here,leadership
1057,each other,retail store managers
1058,clients,b2b
1059,these people,the teams
1060,lifelong friends,worlds
1061,you,apple
1062,there,salesforce
1063,the possibility,none
1064,mobility,apple
1065,apple retail,great place
1066,there,the company
1067,obstacles,random hours
1068,friendly culture,bad management
1069,outstanding benefits,lots
1070,room,favoritism
1071,flexible scheduling,no room
1072,stock options,advance
1073,thorough,certain level
1074,decent pay,people
1075,lots,you
1076,benefits,rude customers
1077,environments,holidays stats
1078,retail,calls amount
1079,one,calls
1080,the foremost companies,it
1081,terms,giant organisation
1082,innovation,giant
1083,work environment,it
1084,professional development,giant organisation
1085,people skills,giant
1086,incredible technology,movement
1087,face,weekends
1088,innovative,that
1089,ambitious,the only major flaw
1090,401k,schedule not
1091,healthcare,such thing
1092,tuition reimbursement,times
1093,good pay,company
1094,good friends,all
1095,good pay,this company
1096,pretty good discounts,long hours
1097,edge technology,tedious work
1098,great people,heavy work load
1099,better culture,peak hours
1100,the benefits,little upward mobility
1101,pay,very long time
1102,hours,retail hours
1103,employee centric,they
1104,fast pace,within
1105,fringe benefits,no regularity
1106,flexible schedule,scheduling
1107,great benefits,2020
1108,you,apple
1109,huge opportunities,us
1110,many benefits,the entire app review team
1111,part,danger
1112,good performance,the majority
1113,legitimate rewards,the apple corporate office
1114,vested stocks,home
1115,opportunities,coronavirus
1116,each location,we
1117,different opportunities,the office
1118,many benefits,we
1119,part,masks
1120,good performance,no antibacterial wipes
1121,legitimate rewards,we
1122,vested stocks,10 hour days
1123,opportunities,five
1124,each location,week
1125,different opportunities,senior
1126,great,leadership
1127,culture,us
1128,management,they
1129,employee development,home
1130,lots,us
1131,perks,they
1132,some friendly people,this
1133,great benefits,they
1134,discounts,zero respect
1135,tuition reimbursement,us
1136,good camaraderie,we
1137,team,hours
1138,great work environment,schedule
1139,attentive management,you
1140,the people,anything
1141,amazing benefits,apple
1142,good pay,survey
1143,great discounts,it
1144,benefits,you
1145,discounts,no idea
1146,easy,it
1147,schedule,the person
1148,managers,you
1149,workplace culture,the whole thing
1150,super chill,all the rah
1151,most days,rah apple
1152,best pay,it
1153,,sales job
1154,retail job,the most part
1155,great benefits,apple products
1156,career advancement,themselves
1157,great people,most people
1158,super nice coworkers,they
1159,management,they
1160,benefits,the store
1161,part time employee,the apple experience
1162,,that
1163,good health plan,you
1164,public transit reimbursement,stuff
1165,good pay,applecare
1166,great coworkers,apple business introductions
1167,you,other metrics
1168,people,training
1169,you,weeks
1170,apple,partial drilling
1171,the campus,sales
1172,variety,the
1173,food options,products
1174,benefits,cell phone plans
1175,the first day,applecare
1176,you,genius bar
1177,anything,they
1178,they,you
1179,productivity,the overview
1180,you,you
1181,time,the rest
1182,everyone,the floor
1183,resources,seasonal workers
1184,free time,the benefits
1185,interview,the full time employees
1186,other jobs,you
1187,free beats,some
1188,headphones,the benefits
1189,work,others
1190,most,it
1191,free job,business referrals
1192,ever,customers
1193,the best culture,
1194,pay,
1195,benefits,one interaction
1196,people,months
1197,people,nice guy
1198,best products,
1199,services,the retention
1200,the market,team
1201,they,the team leaders
1202,good job training,coworkers
1203,me,me
1204,other recruits,they
1205,you,customers
1206,the store,the likelihood
1207,good pay,they
1208,employees,applecare
1209,apple,sale
1210,an amazing place,managers
1211,environment,that fact
1212,ton,constant drumbeat
1213,beautiful products,retail employees
1214,work environment,the community
1215,the people,employee donations
1216,you,volunteering
1217,all the employees,people
1218,,things
1219,seasonal,they
1220,it,earnest
1221,jobs,they
1222,,financial planning seminars
1223,full time,the amount
1224,the moment,coworkers
1225,apple,apple
1226,it,seasonal workers
1227,an unforgettable experience,time
1228,it,access
1229,different country,the tools
1230,,the full time staff
1231,some,it
1232,the pros,you
1233,competitive hourly pay,this time
1234,flexible hours,lot
1235,employee discount,politic
1236,fun,they
1237,good,you
1238,pay,you
1239,,growth
1240,opportunity,times
1241,talented people,
1242,,some sensory overload
1243,some,
1244,great managers,music playing
1245,good benefits,the speakers
1246,time,videos
1247,product,every screen
1248,management ceo,conversations
1249,culture,you
1250,privacy,the person
1251,location,front
1252,great benefits,you
1253,employee resources,the conversation
1254,potential,the headset
1255,growth,you
1256,there,it
1257,feeling,while
1258,family,me
1259,all,it
1260,team,also
1261,lot,all
1262,hands,the current information
1263,experience,products
1264,benefits,tech demos
1265,work,phone company plan changes
1266,home,quite lot
1267,equipment,work
1268,good benefits discounts,leadership team play favorites
1269,training,they
1270,internship programs,ones
1271,the best retail job,company culture shifts
1272,you,quick
1273,this company,it
1274,care,all numbers
1275,you,game now
1276,great benefits,no longer working
1277,great culture,purpose work
1278,no matter,monotonous promotions
1279,you,favoritism
1280,incredible training,nothing
1281,excellent management,pressure
1282,amazing pay,no work
1283,comparable jobs,life balance
1284,the market,political need
1285,many different pathways,feedback
1286,yourself,associates
1287,an individual,not flexible
1288,great improvement tracking system,it
1289,satisfactory training,full time schedule options
1290,an amazing environment,that great place
1291,love management,person
1292,apple,big company
1293,you,you
1294,person,lot
1295,they,people
1296,feedback,the business
1297,all people,they
1298,the store,people
1299,managers,roles
1300,they,they
1301,you,progress
1302,an employee,limited growth opportunities
1303,great benefits,you
1304,great tech skills,days
1305,great community,lots
1306,friends,projects
1307,great network great transition job,nothing
1308,friendly environment,vs
1309,number,other jobs
1310,good benefits,
1311,internal marketings,customers
1312,it,high demands
1313,you,the
1314,great store,nyc
1315,greatest company,overwhelming foot traffic
1316,cool products,the
1317,innovative company,work
1318,they,life balance
1319,amazing benefits,school
1320,great pay,bit
1321,home,limited local career
1322,the manager situation,path options
1323,the luck,technicians
1324,the draw,nyc
1325,,you
1326,,anything
1327,years,you
1328,she,other parts
1329,,the country
1330,two separate horrible ones,work
1331,micromanage,the genius bar
1332,workers,mind
1333,team,you
1334,each other,no patience
1335,apple,management
1336,an incredible job,drag
1337,health insurance,lots
1338,dental,micro managing
1339,vision,work life balance
1340,cool,not ideal
1341,very dynamic environment,those
1342,you,us
1343,really the work,impersonal
1344,itself,they
1345,great people,comradery
1346,the main benefit,some managers
1347,apple executive team,some manager
1348,good job managing wall street,metrics
1349,momentum,time
1350,past product innovations,garbage
1351,current results,all customer
1352,great benefits,managers
1353,part time employees,retail
1354,flexible hours,little
1355,great,the holidays
1356,interesting,nothing
1357,easy overall,shifts
1358,place,firm work hours
1359,them,working
1360,the work,weekends
1361,engaging,shifts
1362,the personal accountability,loss
1363,team,long term
1364,work,vision
1365,environment,customers
1366,the products,management
1367,world class,you
1368,many perks,lot
1369,the company,no cons
1370,bus service,they
1371,discounts,micromanage metrics
1372,high degree,every level
1373,luxury,it
1374,the workplace,sales job
1375,esp,it
1376,apple park,you
1377,good pay,applecare
1378,interesting people,apple arcade
1379,everyday,joke
1380,the company,you
1381,the work environment,
1382,great health benefit,you
1383,coverage,they
1384,benefits,it
1385,full,this
1386,health,
1387,part time employees,profit
1388,employee,duh
1389,purchase,all companies
1390,program,profit
1391,benefits,
1392,it,apple
1393,great employees,terms
1394,amazing caffe,profit
1395,the flexible hours,the office
1396,extensive training,me
1397,coaching,low hourly compensation
1398,opportunities,high fringe benefits
1399,advancement,retail
1400,excellent benefits,none
1401,opportunity,none
1402,new positions,many
1403,the company,
1404,smart people,corporate culture
1405,phenomenal jobs,long hours
1406,leadership,it
1407,positive environment,people
1408,pay benefits access,scheduling
1409,other resources,location
1410,pto ability,the mall
1411,company management,advancement
1412,employees,you
1413,manageable hours,no work life balance
1414,school,customers
1415,school,jerks
1416,amazing people,apple
1417,great pay,you
1418,discounts,robot
1419,products,the way
1420,discounted stock purchases,you
1421,product discounts,one interaction
1422,great community,the next
1423,great support,you
1424,high pay,long time
1425,friendly upbeat environment,customer
1426,great benefits,lot
1427,growth,micromanaging
1428,employee stock purchase program,the souls
1429,easiest,all employees
1430,job,
1431,ever,very
1432,angry customers,constant
1433,things,clientele
1434,strange customers,you
1435,great benefits,any experience
1436,great money,similar environment
1437,no growth,retail hours
1438,there,fun
1439,many great reasons,the mall
1440,apple,sometimes parking
1441,the people,you
1442,the benefits,school
1443,you,it
1444,fast,lot
1445,great people,hours
1446,great environment,the way
1447,pay,classes
1448,employee discount,pressure
1449,friends,customers
1450,family discount,jerks
1451,,you
1452,myself,this role
1453,there,there
