,pro,con
159,opportunities,no matter
160,growth,management
161,great culture,facebook
162,good benefits,money
163,flexibility,open offices
164,good overall rating,them
165,business,job
166,the culture,
167,the company,boring
168,ms,di
169,good flexibility,power bi
170,work,telemetry data
171,benefits,angry customers
172,the people,you
173,the innovation,patience
174,people,retail
175,some,professional growth
176,projects,work
177,benefits,you
178,culture,career
179,great benefits,constant reorg
180,flexible schedule,directions
181,great work environment,bureaucratic politics
182,work,everyone
183,nice perks,the company
184,senior leadership strategy,the position
185,work,constant reorg
186,nice perks,directions
187,senior leadership strategy,bureaucratic politics
188,culture,everyone
189,great good cafe,the company
190,lot,the position
191,some teammates,designer
192,the best benefits,project driver
193,you,ui ux
194,you,pay
195,some interesting areas,less
196,inside microsoft,extra hours
197,it,any
198,good,dependent
199,it,teams
200,average employer,the pace
201,benefits,average employer
202,perks,workload
203,location parking,food
204,facilities,lunch price
205,atmosphere,experience
206,environment,team
207,diversity,internal transfer process
208,inclusion,other companies
209,the cultural change,seasoned engineers
210,great,big tech companies
211,leadership,much more
212,drive,premium
213,great compensation,expertise
214,benefits,this company
215,work environment,not
216,opportunities,negatives
217,good training opportunities,
218,diversity,team
219,engineering positions,team
220,the company,pay hiring
221,upper management,variable
222,solid strategic plays,the team
223,too many big mistakes,sometime microsoft
224,pay perks,time management
225,bonus time,management
226,work,no flexibility
227,home,the pay
228,good benefits,it
229,nice people,work life balance
230,any,someone new
231,culture,bureacracy
232,people,times
233,benefits,manager
234,executive leadership,no free food
235,best,lower salary
236,work,work
237,environment,it
238,work,they
239,life,you
240,balance,you
241,good health insurance,some
242,pay,bad manager
243,staff,the ballmer era
244,shifts,less relocation bonus
245,the opportunity,joining bonus
246,technology,job
247,amazing collaborative work culture,enterprise software
248,innovation,rewards
249,ideas,the
250,lots,artificial
251,options,tons
252,products,meetings
253,different domains,the specific work
254,personas,
255,employees,
256,top,we
257,the class benefits,similar roles
258,lots,other companies
259,opportunity,
260,advancement,they
261,work life balance,this
262,pay,myself
263,work,hours
264,job security,the specific work
265,you,
266,lots,
267,smart people,we
268,good challenges,similar roles
269,culture,other companies
270,great perks,
271,great benefits,they
272,pay,this
273,work life balance,myself
274,culture,hours
275,no pressure,satya
276,great benefits,the culture
277,excellent people,there
278,lots,pockets
279,cool technology,status quo
280,work life balance,bit
281,,large bureaucracy
282,,no career advancement
283,other teams,management
284,ms,you
285,the team,review system
286,,too much politics
287,,sometimes boring projects
288,year,changes
289,,legacy engineering systems
290,the creative,cons
291,network,all big companies
292,research experience,cons
293,you,all big companies
294,everyone,politics
295,peers,bit
296,the culture,excessive work load
297,,expectation
298,,many hours
299,other teams,progress
300,ms,contributions
301,the team,others
302,,pockets
303,,resistance
304,year,cultural change
305,,networks
306,the creative,high turnover
307,network,no end
308,research experience,sight
309,you,mid level leaders
310,everyone,the new culture
311,peers,they
312,the culture,employee
313,microsoft,issues
314,opportunities,good place
315,size,introverts
316,pay,the culture
317,cool company,poor performance evaluation system
318,large,managers
319,diverse impact,you
320,benefits,others
321,pay,advice
322,coworkers,you
323,area,you
324,help,nothing
325,great benefits,matters
326,location,advancement
327,nice,the company
328,good perks,navigate
329,good compensation,very political environment
330,tons,performance rewards
331,resources,the way
332,great work,things
333,life,some
334,balance,others
335,flexible hours,you
336,good,things
337,,teams
338,industry standard software,average pay
339,process,infrequent promotions
340,,right team
341,ship,the benefits
342,top quality level product,the company
343,billions,partner teams
344,people,some orgs
345,,it
346,industry standard software,we
347,process,easiest
348,,way
349,ship,times
350,top quality level product,culture
351,billions,extra effort
352,people,designers
353,good environment,some convincing
354,managers,behalf
355,exposure,the end users
356,many disciplines,none
357,diversity,css
358,challenges,development
359,footprint,artificial separation
360,the culture change,business units
361,satya leadership,it
362,positive impacts,things
363,all aspects,some
364,work,much sense
365,benefits,customers
366,addition,every year
367,usual benefits,you
368,there,long lasting relationships
369,lot,all day
370,focus,slow day
371,the community,pay scale
372,matching gifts,huge
373,volunteer time,corporation
374,huge organization,no cons
375,you,microsoft
376,something,
377,outstanding benefits,great leadership
378,including medical insurance,you
379,401k,strong feedback
380,time,the
381,great name,you
382,excellent benefits,they
383,broad opportunities,engineering staff
384,the company,minimum
385,amazing,10
386,benefits,no matter
387,perks,even top performers
388,total compensation,they
389,great place,folks
390,useful,band
391,,you
392,atmosphere,it
393,great benefits,comp
394,50,first
395,401,it
396,,principal level
397,the irs max,this
398,good work life balance,they
399,good management,
400,culture,manager around
401,401k match,him
402,benefits,other projects
403,insurance plans,there
404,paternity,
405,maternity,it
406,ethical company,
407,an awesome leader,the work environment
408,good,the things
409,team members,you
410,culture shift,night
411,empathetic,duty
412,satya,excessive
413,great atmosphere,limited upward mobility
414,great pay,competitor
415,microsoft overall azure,no complaints
416,cloud development,
417,broad range businesses,the dynamics org
418,lots,no one trusts
419,internal mobility opportunities,retaliation
420,culture,the location
421,positive direction,south bellevue
422,,lateral moves
423,lots,any sort
424,smart people,networking
425,pay,stock grants
426,benefits,the industry
427,the area,and
428,par,management culture
429,the faang,decisions
430,great company,none
431,great benefits,management
432,the right thing,now
433,office work,diversity
434,not heavy lifting,all levels
435,good company,people
436,amazing work life balance,promotion
437,lot,it
438,focus,these days
439,culture,night meetings
440,,india team
441,all forms,none
442,college,little room
443,microsoft,the company
444,long journey,terms
445,10 years,career
446,top finance corporations,no free food
447,,work life balance
448,microsoft,exits
449,,you
450,home,customer support
451,you,internal training etc
452,the fantastic opportunity,no free food
453,privilege,other companies
454,part,hr
455,such amazing company,inclusiveness
456,global,white men
457,ability,leave
458,an entire industry,there
459,the company,heightened culture
460,you,victims
461,good manager,waiting
462,they,the statement
463,you,personal truth
464,comp,you
465,that,trouble
466,it,anything
467,me,there
468,mostly good people,policies
469,tough problems,words
470,,that hr
471,good pay,you
472,hands,those preferred words
473,manager,phrases
474,smart people,someone
475,interesting projects,you
476,etc,trouble
477,fantastic opportunities,there
478,the company,quiet talks
479,good company culture,managers
480,collaborative environment,the rules
481,mature company,white men
482,mature leadership,one message
483,great benefits,white man
484,salary,someone
485,they,another category harassing
486,care,they
487,you,you
488,you,protected class
489,family,this
490,microsoft benefits,you
491,class,microsoft
492,health insurance,you
493,other reasons,
494,good salary,highly
495,great growth potential,moving
496,good stock growth,too big
497,excellent benefits,typical reasons
498,you,it
499,pc,great place
500,net tech,it
501,work life balance,some members
502,good benefits,management
503,positive work environment,some
504,leadership,the
505,mainly satya,the company
506,growth mindset nature,times
507,work opportunities,you
508,big campus,some
509,hq,the internal systems
510,lots,expense reporting
511,amenities,
512,people,you
513,culture,managers
514,projects,this
515,awesome company,the store manager
516,good environment,you
517,truly helpful people,you
518,there,passive aggressive tone
519,benefits,this
520,salary,the place
521,parental leave,you
522,team work,the company
523,projects,culture
524,pay,marketplace
525,people,middle mgmt
526,benefits,training
527,most people,no career
528,great company,planning
529,great benefits,you
530,perks,yourself
531,azure business,hot desking
532,large enterprises,some orgs
533,lots,slow
534,room,growth
535,success,while
536,yourself,new levels
537,the campus,
538,redmond,it
539,there,it
540,lot,big company
541,different things,needs
542,aka,decision
543,you,trust leaders
544,teams,bad management
545,lot,sometime
546,smart,perf review processes
547,people,politics
548,you,culture
549,technology,hq
550,microsoft,sales quotas
551,great place,any
552,you,long hours
553,lot,terrible management
554,you,pay
555,it,the manager
556,the technology,it
557,it,big company
558,great place,there
559,it,lot
560,the people,politics
561,they,things
562,great work,this
563,life,it
564,balance,the absence
565,interesting work,free food
566,,there
567,microsoft,team dependent culture
568,the work culture,too much red tape
569,colleagues,frugality
570,the boundaries,review process
571,developer tools,transparent
572,,reorganizations
573,she,you
574,me,job
575,fulfilling two years,nice pay cut
576,me,
577,incredible work life balance,anything
578,free software,microsoft
579,microsoft products,no cons
580,great work,this company
581,life balance,much money
582,good work,lot
583,life,waste
584,balance,no need
585,potential,political
586,career moves,tactical projects
587,great time,strategic projects
588,you,no prioritization
589,d,priority
590,,nothing
591,candidate,priority
592,good work life balance,no downsides
593,great company,you
594,flexible hours,results
595,pto,no cons
596,,this company
597,fun,much money
598,people,lot
599,engineering,waste
600,great company culture,no need
601,ceo,political
602,benefits,tactical projects
603,benefits,strategic projects
604,life balance,no prioritization
605,development,priority
606,good benefits,nothing
607,strong comp,priority
608,some good managers,no downsides
609,values,you
610,employees,results
611,flexible hours,it
612,good compensation,big company
613,great company,it
614,great work,some orgs
615,life balance,the uptake
616,great benefits,satya
617,good culture,there
618,no scandals,certain
619,anything,there
620,customers,not enough accountability
621,great work life balance,very senior levels
622,interesting projects,middle management
623,benefits,mixed bag
624,401 match,
625,espp plan,some managers
626,competitive salary,others
627,benefits,management
628,jobs,long tenure
629,companies,
630,excellent environment,institutional knowledge
631,research,it
632,colleagues,bad habits
633,very good company,there
634,too much money,any training
635,great benefits,managers
636,great people,high performing teams
637,company,attrition
638,potential,official
639,fancy labels,thing
640,very good company,promotions
641,too much money,favoritism
642,great benefits,fear
643,great people,strong talent
644,company,basic merit
645,potential,managers
646,fancy labels,the promotion
647,great benefits,hr
648,good compensation,more employees
649,diverse company culture,promotion
650,satya,budget
651,an awesome job,cmr
652,microsoft,microsoft
653,the company,there
654,,any mechanisms
655,microsoft,feedback
656,you,manager
657,it,internal surveys
658,they,immediate manager
659,corp,that
660,you,the entirety
661,them,the employee experience
662,the pay,and
663,competitors,lack
664,the benefits,focus
665,you,the
666,you,competitive salaries
667,different role,engineers
668,the org,no disadvantages
669,another group,quota
670,engineering,sales
671,the new gm,no disadvantages
672,cmr,lots
673,fall 2019,hierarchy
674,culture,larger company
675,development opportunities,that
676,no commute,big company bureaucracy
677,downtown seattle,each other
678,offers,red tape
679,great challenges,such big company
680,those,it
681,lots,the microsoft stereotype
682,great,front
683,smart colleagues,the right people
684,company,systems
685,strong vision,place
686,great place,
687,nice benefits,this more
688,smart people,the size
689,everyday,the company
690,something,particular culture
691,satya,no cons
692,great leader,
693,pay,very big company
694,other cloud companies,noticeable impact
695,the bay area,locations
696,great benefits,there
697,culture,bio
698,great place,real cons
699,great people,retail space
700,fun things,the store
701,great compensation,petty
702,great benefits,gossip
703,people,low
704,,salary
705,them,average talent
706,good culture,bad thinngs
707,stock,lack
708,ambiguity,mentorship
709,room,lot
710,creativity,international travel
711,great work life balance,factories
712,not lot,asia
713,stress,surface hardware
714,you,pay
715,impact,really big company
716,the world,too much
717,ability,pace environment
718,new teams,success
719,something,you
720,new stable resources,great manager
721,any marketing endeavor,manager
722,initiative,something
723,great management,lord
724,growth opp,the flies
725,great benefits,others
726,good work life balance,end
727,the team,the year bonuses
728,some nice perks,merit
729,cool culture,you
730,benefits,the managers
731,pay,he
732,it,the year
733,,some customers
734,great benefits,reason
735,fun place,there
736,good work,any downsides
737,life,microsoft
738,balance,
739,projects,abuse
740,lots,hr
741,benefits,year
742,flexibility,the managers
743,independence,this company
744,great benefits,politics
745,good salary,anything
746,lots,work
747,great,there
748,company,an overwhelming focus
749,culture,microsoft
750,rich product lines,the pay
751,new,all the people
752,things,there
753,lot,55
754,opportunities,they
755,high impact,continual fire fresh teams
756,smart people,any challenge
757,great pay great benefits,development
758,great coworkers commute,low iq
759,the connector competitive vacation,management chains
760,lots,technology
761,possibilities,very hard
762,exposure,any smart people
763,the ability,many layers
764,skills,management
765,company,nothing
766,mind,ambiguity
767,the culture,constant
768,the,no actual benefit
769,freaking animals,the pay
770,some,stock
771,people,it
772,some,the quality
773,work,people
774,lots,big company
775,cool tech,visibility
776,you,not super high growth
777,great culture,most teams
778,benefits,seattle
779,innovative work,none
780,company,it
781,50,people
782,401k match,average pay
783,vested,other companies
784,msft stock,the area
785,great healthcare,base pay
786,amazing work life balance,amazon
787,everyone,sap
788,great place,salesforce
789,lot,lin order
790,room,you
791,growth,average pay
792,ethical company,other companies
793,meaningful work,the area
794,,base pay
795,the benefits,amazon
796,amazing work life balance,sap
797,everyone,salesforce
798,great place,lin order
799,lot,you
800,room,long hours
801,growth,high stress lots
802,ethical company,petty politics
803,meaningful work,the culture
804,,years
805,the benefits,lots
806,visionary ceo amazing collection,internal inertia
807,assets,the org
808,cloud provider,overworked
809,committed people,management
810,high growth environment,work
811,energy,less opportunities
812,benefits,young people
813,empowerment,azure
814,opportunities,toxic manager
815,great salary,lot
816,good stocks,good employees
817,good work,myself
818,good projects,manager
819,good,complaints
820,decent benefits,hourly wage
821,supportive colleagues,everything
822,great,
823,benefits,tech industry
824,the best anywhere,hr
825,fun people,there
826,positive culture,layer
827,microsoft,management
828,,15
829,fan,
830,they,old boys
831,lot,you
832,the walk,tow
833,it,the line
834,,the ring
835,huge respect,you
836,great people,theirs
837,flexibility,promotion
838,home,the business
839,freedom,kiss
840,own career trajectory,the ring
841,inclusive environment,you
842,ceo,manager
843,,you
844,great flexibility,another manager
845,,any role
846,you,high visibility
847,the redmond location,any role
848,there,the regular running
849,great commute options,the business
850,,that
851,senior leadership,culture
852,the culture,you
853,not just lip service,avoid microsoft
854,mangers,now
855,,this
856,the company,board
857,growth,onboarding process
858,the stock price,improvement
859,satya nadella,bad work
860,ceo,culture
861,,some
862,the benefits,
863,good work life balance,retail hours
864,they,inexperience managers
865,good benefits,heavy workload
866,opportunity,pockets
867,solid culture,folks
868,great benefits,times
869,great products,salary
870,great benefits,year
871,the company,competition
872,the benefits,the pay
873,the culture,that
874,everyone,other tech giants
875,,google
876,part,linkedin
877,the upcoming journey,microsoft
878,this company,result
879,work life balance,much
880,easy,the top talent
881,good wlb,competitors
882,teams,another role
883,you,recruiting
884,many people,
885,30 hours,months
886,all the interesting teams,managers
887,azure,
888,windows,interviews
889,xbox,there
890,office,nothing
891,many more,lots
892,culture,sales organization
893,great mentoring programs,little
894,women,some people
895,incredible ability,pay
896,market,retail
897,great pay,some
898,flexible work environment,the internal policies
899,smart people,you
900,microsoft,results
901,great place,the end
902,you,the year
903,r,some teams
904,person,more
905,the company,opportunity
906,you,others
907,,the teams
908,other companies,the work pace
909,microsoft,rewards
910,the it roots,teams
911,the benefits,but
912,they,them
913,team,management
914,belief,you
915,we,the company
916,anything,the transition
917,microsoft,retail
918,new things,corporate
919,the betterment,legacy code base
920,the community,long
921,interesting work,product
922,lot,stocks options
923,opportunity,not many
924,impact,opportunities
925,junior devs,too much
926,fair,change
927,goal,management
928,great compensation,out there culture
929,benefits,other tech
930,great benefits,it
931,stock purchase plan,lot
932,company,work
933,lots,office
934,projects,enough room
935,campus,bureaucracy politics
936,colleagues,lots
937,work life balance,processes
938,other places,meeting deadlines
939,extremely nice,pressure
940,talented people,none
941,everyone,
942,culture,the communications organization
943,culture,microsoft
944,decent pay,
945,great co workers,all the individuals
946,great,the same agency
947,good environment,they
948,,all
949,there,all
950,innovative cloud computing,any other backgrounds
951,all technologies,they
952,inside,they
953,ms,mathematics
954,good salary,they
955,benefits,the pnw
956,remote work options,trouble
957,it,people
958,,individuals
959,positive environment,other parts
960,microsoft,the world
961,satya,an
962,an amazing leader,the male leadership
963,wide breadth,poor leadership
964,products,the field level
965,good market reach,too
966,great products,work
967,pay,long work hours
968,nice people,slow growth
969,work life balance,bureaucratic
970,culture,engineers
971,satya,performance
972,fit,dev operations
973,lots,bit
974,potential,politics
975,movement,others
976,good work life balance,full time job
977,wide scope,things
978,the ability,result
979,impact millions,work life
980,customers,balance
981,great environment,competitive pay
982,outstanding benefits package,stock awards
983,401k,competitors
984,espp,some projects
985,lots,higher levels
986,opportunity,reorganizations
987,the company,roles
988,benefits,human beings
989,people,low job
990,very,security
991,work,all workgroups
992,exceptional benefits,pressures company
993,excellent,unexpected layoffs
994,structure,no warning company
995,high focus,continuous improvement
996,ethics,culture
997,big impact,heroes
998,diverse job opportunities,jobs
999,great place,hq little loyalty
1000,risks,employees
1001,high level,company
1002,empowerment,legal risks
1003,steps,compassionate approaches
1004,customers,employee reskilling
1005,manager,org changes
1006,program leaders,not whole lot
1007,business leaders,cons
1008,customers,sporadic middle management
1009,the candidate experience,diversity misalignment
1010,we,opportunity
1011,the right candidates,growth
1012,the,strong network
1013,some,good opportunities
1014,the smartest people,new tech
1015,the world,senior management
1016,,services
1017,people,caustic work environment
1018,microsoft,there
1019,the world,
1020,tech,many occasions
1021,the better,manager
1022,balance,intimidation
1023,ceo,performance
1024,excellent company ethical,the sales team
1025,environmental,this
1026,good work life,senior management
1027,balance,nothing
1028,decent pay,the turn
1029,good benefits,services
1030,benefits,part
1031,great,this culture
1032,employees,harassment
1033,each other,not room
1034,good pay,lots
1035,environment,politics
1036,them,promotions
1037,good company,lots
1038,smart people,politics
1039,decent compensation,promotions
1040,good company,most company
1041,smart people,there
1042,decent compensation,some politics
1043,microsoft,some stress
1044,great place,tenure
1045,great,more
1046,lots,liability
1047,freedom,asset culture
1048,excellent company strategy,field
1049,strong product offerings,not enough work
1050,great company,days
1051,,the week
1052,valuable experience,
1053,me,this job
1054,lot,people
1055,microsoft,people
1056,others,some situations
1057,them,others
1058,more,collaboration
1059,something,business units
1060,you,management
1061,you,there
1062,technology,some great managers
1063,you,the managers
1064,you,par
1065,you,the company
1066,positive difference,we
1067,the world,that specialty
1068,you,not much room
1069,leadership,roles
1070,the culture,conflict
1071,it,dont
1072,they,any cons
1073,collaborative work environment,this moment
1074,people,long way
1075,an open mindset,inclusive culture
1076,diversity,different career objectives
1077,support continuous learning,employees
1078,more,time
1079,the company,not good place
1080,great work life balance,junior person
1081,other,
1082,,support function
1083,the,upward mobility
1084,work life balance,people
1085,culture,they
1086,great location,you
1087,we,an office
1088,large,environment
1089,the people,you
1090,we,the matrix
1091,this job,very commercial
1092,an inclusive,consumer ambition
1093,great company,mgnt
1094,great people,none
1095,edge technology,satya
1096,lots,ceo
1097,people,unethical
1098,schedule,compliance poor
1099,high caliber,typical corporate structure
1100,people,microsoft recruiters
1101,with,more attention
1102,collaborative work environment,executive level roles
1103,mission,the company
1104,company,within
1105,lot,experience
1106,company,org
1107,the walk,org
1108,community,the right people
1109,benefits,lack
1110,compensation,diversity
1111,reasonable,technical roles
1112,it,nothing
1113,group,management
1114,group,salary
1115,microsoft,runway
1116,lot,promotions
1117,benefits,extreme liberal attitudes
1118,growth mindset culture,reality
1119,customers,the yearly review process
1120,technical innovation,one
1121,prizes,the
1122,the right thing,all male leadership
1123,great benefits,investment
1124,free food,
1125,wlb,
1126,smart coworkers,no action
1127,amazing benefits,hr issues
1128,none microsoft,no career growth
1129,good place,womxn
1130,they,terrible treatment
1131,constant learning,black employees
1132,access,technology
1133,technology,slow
1134,smart people,teams
1135,flexibility,micromanagement
1136,great place,leadership
1137,global business,review process
1138,big orgs,bit
1139,lots,times
1140,places,it
1141,variety,the world
1142,opportunities,communication
1143,ability,fair bit
1144,move,aggression
1145,great culture,times
1146,nice perks,lot
1147,good pay,politics
1148,nice caring people,work
1149,good optus,sometime
1150,pay,you
1151,interest,middle
1152,work,you
1153,friendly talented people,such position
1154,products,pay
1155,peoples life,comparable big techs
1156,interesting,you
1157,hard working womxn,change
1158,good leadership,old management
1159,amazing healthcare,some orgs
1160,great,change
1161,perks,strong
1162,bonuses,the management structure
1163,work experience,employees
1164,fun,all the work
1165,diversity,the culture
1166,life balance,rabid focus
1167,culture,diversity
1168,there,reverse discrimination
1169,nothing,review system
1170,you,the vp
1171,it,gm level
1172,fun,internal politics
1173,you,business results
1174,good team,none
1175,flexible company,microsoft
1176,edge tech,everything
1177,you,you
1178,you,great company
1179,lot,poor senior leadership strategy changes
1180,you,poor management
1181,you,historical experiences
1182,atmosphere,little value
1183,collaborative team,the highest performers
1184,good 401k matching,much politics
1185,lots,it
1186,changes,you
1187,the new ceo,you
1188,the field,noisiest ones
1189,the company,the room
1190,great leadership,the ones
1191,satya nadella,recent years
1192,better,changes
1193,benefits,change sake
1194,comradery,decision making
1195,campus,diversity
1196,pay,it
1197,top tier company,diversity
1198,exception benefits,true diversity
1199,market leader,values
1200,good benefits,managers
1201,package,training
1202,flexible work arrangements,employees
1203,meal,career opportunities
1204,work balance,redmond
1205,lot,microsoft services
1206,good pay,the worst place
1207,benefits,manager role
1208,strong benefits,you
1209,work,the option
1210,software,manager
1211,the entire planet,an individual contributor
1212,loads,services
1213,internal opportunities,the work
1214,the best,manager
1215,the best,it
1216,super smart people,utter chaos
1217,the business model,this
1218,you,someone
1219,things,lot
1220,you,leadership experience
1221,fair price,other roles
1222,you,other managers
1223,things,attempts
1224,exchange,side projects
1225,all you,mid
1226,curve,upper management
1227,great culture,purpose
1228,satya,they
1229,ceo,the basics
1230,lots,leadership
1231,innovation,this charade time
1232,satya nadella,time
1233,the right vision,the managers
1234,the company,brown nosing
1235,he,the ones
1236,the company,the business
1237,pay,this
1238,flexible work,the worst organization
1239,autonomous work environment,
1240,excellent company,leader
1241,an individual contributor,
1242,great chance,it
1243,smart people,
1244,excellent team,manager
1245,great work place,you
1246,decent pay,this dumpster fire
1247,multiple roles,fifedoms
1248,ability,favorites
1249,disciplines,meaningless work
1250,great,you
1251,salary,yourself
1252,benefits,specific
1253,tons,you
1254,new stuff,good management
1255,great food,it
1256,great culture,none
1257,decent pay,current time period
1258,great benefits,big company
1259,the work lots,you
1260,growth,small area
1261,work life balance,toxic politics
1262,flexible,middle management
1263,benefit,many cons
1264,great,
1265,you,lots
1266,pockets,growth
1267,msft,source
1268,not only,business
1269,msr,impact teams
1270,smartest,similar things
1271,group,complete isolation
1272,you,little
1273,land,no
1274,opportunities,least
1275,visionary ceo,the product
1276,innovative company,the business impact
1277,opportunity,there
1278,broad exposure,teams
1279,microsoft,people
1280,every customer segment,the old framework
1281,good overall pay,the wheel
1282,benefits,no intention
1283,cultural transformation,the changes
1284,the past few years,recent developments
1285,this,pace
1286,stock price,failure
1287,an upswing,large company
1288,long time,hr processes
1289,the newest technology,times
1290,consistent customer,some inertia
1291,culture,middle management
1292,excellent benefits,barriers
1293,satisfaction,people
1294,new ideas,constant pressure
1295,businesses,numbers
1296,leadership,work life balance
1297,there,day
1298,resources,day staffing necessities
1299,you,microsoft
1300,fun projects,the growth
1301,smart people,the company
1302,innovative products,new opportunities
1303,flexibility,new role
1304,teams,challenge
1305,good stock,different teams
1306,value increase,each other
1307,the past couple,the
1308,years,anything
1309,you,it
1310,the company,one
1311,you,the shuffle
1312,collaboration,pay
1313,team work,the low side
1314,customer centric,lot
1315,success,politics
1316,solution vision,bad work life balance
1317,benefits package,shifts
1318,benefits,all day
1319,culture team,competition
1320,the people,complete product portfolio
1321,smart people,meetings
1322,people,small fish
1323,top school,big sea
1324,good enviornment,each other
1325,lot,conflicts
1326,new people,there
1327,the opportunity,rework
1328,team,retail
1329,specific goals,everyone
1330,mission,mileage
1331,visionary leaders,the organization
1332,strategy,some groups
1333,no free food,fanatic managers
1334,option,there
1335,great perks,others
1336,life balance,leaders
1337,most cases,no cons
1338,good,this time
1339,benefits,slow release cycles
1340,great,things
1341,lots,some office politics
1342,smart people,bureaucracy
1343,machine,drain
1344,microsoft,microsoft
1345,operating cash flows,various departures
1346,revenue,top executives
1347,businesses,lack
1348,microsoft,focus
1349,set,huge cash flows
1350,blockbuster business segments,microsoft
1351,they,new businesses
1352,windows,fat targets
1353,office,competitors
1354,the xbox,microsoft
1355,the server division,years
1356,the cloud,lip
1357,this,service
1358,megatrend,fair pay
1359,technology,genders
1360,compensation,ethnicity
1361,ground level,etc
1362,front line people,this
1363,people,
1364,good benefits,they
1365,good culture,long time performers
1366,oppurtunity,part
1367,good work lifebalance,the gender
1368,nice work location,they
1369,good,the company
1370,balance,these
1371,match,good employees
1372,good,change
1373,insurance,four
1374,they,this
1375,you,the past year
1376,year,one
1377,health program,it
1378,you,average pay
1379,workout,great work
1380,you,slow
1381,master,pace
1382,they,promotion
1383,10k,the new grad
1384,year,level
1385,you,software engineer
1386,years,
1387,company,it
1388,it,every promotion
1389,employees,the team
1390,there,some team
1391,huge opportunity,people
1392,the company,most large companies
1393,good work lifebalance,there
1394,nice work location,lot
1395,good,politics
1396,balance,slow
1397,match,pace
1398,good,promotion
1399,insurance,the new grad
1400,they,level
1401,you,software engineer
1402,year,
1403,health program,it
1404,you,every promotion
1405,workout,the team
1406,you,some team
1407,master,people
1408,they,most large companies
1409,10k,there
1410,year,lot
1411,you,politics
1412,years,low salary
1413,company,other companies
1414,it,the bay area
1415,employees,managers
1416,there,micromanage
1417,huge opportunity,bad architecture
1418,the company,microsoft
1419,stable,full rewrites
1420,company,building
1421,layoffs,top
1422,plenty,further bad design decisions
1423,opportunities,it
1424,good base pay,technical debt
1425,job,ever increasing
1426,cake walk,it
1427,competitive compensation,losing battle
1428,job stability,product focus
1429,high visibility products,new features
1430,good work life balance,time
1431,impactful projects,aws
1432,collaboration,the expense
1433,different,engineering quality
1434,great company,internal tooling
1435,great benefits,there
1436,,many tools
1437,comfortable,the same functionality
1438,timings,each team
1439,,them
1440,great benefits,it
1441,great match,engineering productivity
1442,all emps,senior engineers
1443,excellent products,these
1444,business solutions,salary
1445,good work life balance,competitors
